,ID,FULL TEXT,CREATED AT,LIKE COUNT,FOLLOWERS COUNT,LABEL
,,,,,,
0,1.42E+18,@Srihandalk @kajuwattha හාමුදුරුවරුන්ගේ සහ සියලූම පූජකයන්ගේ මානසික සෞඛ්‍යය ගැන සොයා බැලීමේ වැඩ පිලිවලක් ඕනේ. ?,7/29/2021 2:40,1,1433,Other
1,1.42E+18,"@GotabayaR ද්විපාර්ශවික එකඟතාව පරිදි, ජන ජීවිත සහ සෞඛ්‍යය මනාව ආරක්ෂා කරමින් හැකි ඉක්මණින් ආර්ථිකය හා ?",7/27/2021 10:40,10,13898,Politics
2,1.42E+18,@FCDOGovUK @UKinSriLanka කරැනාකර චිනයේ නිෂ්පාදිත Sinopharm එන්නත ලබාගත් පුද්ගලයන් හට යුරෝපීය රට වලට විසා නිකුත් නොකි?,7/25/2021 20:56,0,87,Other
3,1.42E+18,@WHOSriLanka @WHOSEARO @UNSriLanka @MoH_SriLanka @HPBSriLanka @DMRCASriLanka @ACJUNEWS @newsdotlk කරැනාකර චිනයේ නිෂ්පාදිත Sinopharm එන්නත ලබාගත් පුද්ගලයන් හට යුර?,7/25/2021 20:53,0,87,Other
4,1.42E+18,@WHOSriLanka @UNSriLanka @WHOSEARO @WHO @MoH_SriLanka @HPBSriLanka @RajapaksaNamal @MCND_LKA @newsdotlk කරැනාකර චිනයේ නිෂ්පාදිත Sinopharm එන්නත ලබාගත් පුද්ගලයන් හට ය?,7/25/2021 20:52,1,87,Other
5,1.42E+18,@GotabayaR @WHOSriLanka @WHO කරැනාකර චිනයේ නිෂ්පාදිත Sinopharm එන්නත ලබාගත් පුද්ගලයන් හට යුරෝපීය රට වලට විසා නිකුත් නොක,7/25/2021 20:52,0,87,Other
6,1.42E+18,@Bhnews_eng @DrTedros කරැනාකර චිනයේ නිෂ්පාදිත Sinopharm එන්නත ලබාගත් පුද්ගලයන් හට යුරෝපීය රට වලට විසා නිකුත් නොකිර?,7/25/2021 20:50,0,87,Other
7,1.42E+18,@peoplesvaccine @hrw @astroehlein කරැනාකර චිනයේ නිෂ්පාදිත Sinopharm එන්නත ලබාගත් පුද්ගලයන් හට යුරෝපීය රට වලට විසා නිකුත් න?,7/25/2021 20:49,0,87,Other
8,1.42E+18,@DrTedros @WHO කරැනාකර චිනයේ නිෂ්පාදිත Sinopharm එන්නත ලබාගත් පුද්ගලයන් හට යුරෝපීය රට වලට විසා නිකුත් නොකිරීම ?,7/25/2021 20:48,0,87,Other
9,1.42E+18,@WHO @DrTedros කරැනාකර චිනයේ නිෂ්පාදිත Sinopharm එන්නත ලබාගත් පුද්ගලයන් හට යුරෝපීය රට වලට විසා නිකුත් නොකිරීම ?,7/25/2021 20:47,0,87,Other
10,1.42E+18,ශ්‍රී ලංකන් ගුවන් සේවය “විශිෂ්ට සෞඛ්‍යය කළමනාකරණය” සඳහා වූ සම්මානය දිනා ගනියි https://t.co/OscPBbmywY,7/24/2021 22:42,0,383,Other
11,1.42E+18,"2021 ආසියානු නායකත්ව සම්මාන උළෙලේ දී ශ්‍රීලංකන් ගුවන් සේවය “විශිෂ්ට සෞඛ්‍යය කළමනාකරණය ”  සඳහා වූ සම්මානය දිනා ගනියි 
https://t.co/nJMY37I3BI https://t.co/bFengAuFUy",7/24/2021 11:30,0,23,Other
12,1.42E+18,"ශ්‍රීලංකන් ගුවන් සේවය 2021 ආසියානු නායකත්ව සම්මාන උළෙලේ දී (ALA)   “ආසියානු මානව සම්පත් නායකත්ව සම්මාන” කාණ්ඩය යටතේ “විශිෂ්ටතම සෞඛ්‍යය කළමනාකරණය ” (Best in managing health at work) සඳහා වූ සම්මානයෙන් පිදුම් ලබා ඇත.
#lka https://t.co/fQ5CAflH8y",7/24/2021 4:41,0,32,Other
0,1.42E+18,@IAm_purawasiya ඕක නං පට්ටපල් බොරු. ක්‍රීඩා කරන්න ඔලිම්පික් තේරෙන්නේ ගහෙන් වැටෙනවා වගේ කට්ටිය නෙමෙයි. ඒ ළම?,8/1/2021 14:34,1,854,Sport
,,,,,,
1,1.42E+18,@asankaudi ඊටත් කලින් ස්වභාවික වරණය තීරණය කරපු ගුණාංග ක්‍රීඩා වලට මුල කියලත් පේනවා 😊,8/1/2021 14:32,0,2146,Sport
,,,,,,
2,1.42E+18,"හැට්ටකටු පැත්තකින් තියාපල්ලාකො.

ලංකාවෙ නමගිය ක්‍රීඩා පාසලක ළමයි එක්කලා ප්‍රැක්ටිස්වලට මටත් යන්න යෙදුණා. 

ක්‍රීඩා පාසලක් කිව්වම වෙන්නෙ රට වටේ ඉන්න දක්ෂයො ගෙනල්ලා එක තැනක ප්‍රැක්ටිස් කරවන එක. එහෙම වුණාම හරියට පහසුකම් එහෙම තියෙන්නෝන නෙ හරිනම්. 

1/",8/1/2021 12:54,5,110,Sport
,,,,,,
3,1.42E+18,ඔලිම්පික් ක්‍රීඩා උළෙලේ පදක්කම් සටහනේ පෙරමුණ චීනයට. https://t.co/gw0JJxRH4p,8/1/2021 5:58,0,201,Sport
,,,,,,
4,1.42E+18,"ජපානයේ ටෝකියෝ නුවර ඔලිම්පික් උලෙල නිමාව දකින්නට නියමිතව ඇත්තේ අගොස්තු 08 වනදාය. මේ වනවිට තරගාවලියේ පදක්කම් උණුසුම මතුවන්නට පටන්ගෙන තිබෙයි. 

චීනය දැනට ඉදිරියෙන් සිටින අතර මළල ක්‍රීඩා තරග ඉදිරියේදී අවසන් වීමට නියමිත නිසා ඇමරිකාව පෙරමුණ ගැනීමට බලාපොරොත්තුව… https://t.co/NlNU40myhI",8/1/2021 5:38,2,6740,Sport
,,,,,,
5,1.42E+18,"පුදුම කට්ටක් කන්නෙ අපේ ඔලිම්පික් ක්‍රීඩක ක්‍රීඩිකාවො.

ක්‍රීඩා ඇමතිටත් පේන්න දැම්මෙ.
@GotabayaR 
@PresRajapaksa
@RajapaksaNamal https://t.co/3LPx7Ux2PS",8/1/2021 5:15,11,47598,Sport
,,,,,,
6,1.42E+18,"ක්‍රීඩා ඇමති සහ ශ්‍රී ලංකා-ජපාන පාර්ලිමේන්තු මන්ත්‍රීවරුන්ගේ මිත්‍රත්ව කණ්ඩායමේ ලේකම් යුකෝ ඔබුචි අතර හමුවක් #LNW

https://t.co/hTSkSeEbgw",8/1/2021 3:51,0,2269,Politics
,,,,,,
7,1.42E+18,"#Olympics බලද්දී හිතුනා හුඟක් ක්‍රීඩා වලට මූලික වෙලා තියෙන්නේ basic survival skills නේද කියලා.

එහෙම බැලුවම cricket, golf වගේ ඒවා නම් කොහෙන් පහත් උනාද මන්දා 😏",8/1/2021 3:43,69,2146,Sport
,,,,,,
8,1.42E+18,හැදුනොත් හොඳ කරන්න බැරි පිස්සුවක් තමයි ඔලිම්පික් ක්‍රීඩා බලන එක,8/1/2021 1:47,5,3801,Sport
,,,,,,
10,1.42E+18,"හුංගම පල්ලෙගම හයිරයිඩස් ක්‍රීඩා පිටිය (ග්‍රාමිය වොලිබෝල් ක්‍රීඩාංගනය) ජනතා අයිතියට පැවරීම.

ප්‍රාදේශීය ලේකම් කොට්ඨාශයකට එක් පොදු ක්‍රීඩා පිටියක් සංවර්ධනය කිරීමේ වැඩසටහන යටතේ මෙම ක්‍රිඩාංගණය සංවර්ධනය කර අමාත්‍ය නාමල් රාජපක්ෂ මැතිතුමන්ගේ ප්‍රධානත්වයෙන් අද ජනතා අයිතියට පත්විය https://t.co/aOyx01wFsK",7/31/2021 17:39,0,41,Sport
,,,,,,
,,,,,,
12,1.42E+18,@SandaruChamik ඔව්.මෙතන අපේ ක්‍රීඩකයින්ට ඇදුම්ගැන ප්‍රශ්නයක් ගැන කතා කලේ විශේෂයෙන් .නමුත් මලල ක්‍රීඩා වෙ?,7/31/2021 15:38,0,5572,Sport
,,,,,,
13,1.42E+18,@inshafcaffoor ඔව්.මෙතන අපේ ක්‍රීඩකයින්ට ඇදුම්ගැන ප්‍රශ්නයක් ගැන කතා කලේ විශේෂයෙන් .නමුත් මලල ක්‍රීඩා වෙ?,7/31/2021 15:36,0,5572,Sport
,,,,,,
